,sector,Overall Return (%)
17,RETAILING,113.30539932556509
4,DEFENCE,101.7600574712644
20,TELECOM,69.599048957095
16,POWER,60.18409528819611
1,AUTOMOBILES,54.526537075105274
12,MINING,41.846522781774596
18,SOFTWARE,38.27595416662726
3,CEMENT,36.970944863875545
5,ENERGY,36.564787601839285
0,ALUMINIUM,35.86831961662674
21,TEXTILES,35.781988044977645
15,PHARMACEUTICALS,31.37917300152913
13,MISCELLANEOUS,21.845102392915948
19,STEEL,19.21712461457319
6,ENGINEERING,17.253721630196047
11,INSURANCE,11.767832027533359
7,FINANCE,11.576063201001446
2,BANKING,11.380534233917365
10,FOOD & TOBACCO,7.850159605823678
8,FMCG,4.397957690746738
9,FOOD & TOBACCO,4.321734389748768
14,PAINTS,-21.93504586576567
